gameId,gameDuration,blueWins,totalDamageDealtToChampionsDiff,totalVisionScoreDiff,totalGoldEarnedDiff,totalMinionsKilledDiff,totalNeutralMinionsKilledTeamJungleDiff,totalNeutralMinionsKilledEnemyJungleDiff,totalVisionWardsBoughtInGameDiff,totalWardsPlacedDiff,totalWardsKilledDiff,averageChampLevelDiff,teamKDA_Diff,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
4254747663.0,1757.0,False,-16461.0,13.0,-7423.0,-13.0,24.0,-15.0,2.0,17.0,-2.0,-0.5999999999999996,-2.611111111111111,fail,fail,fail,fail,fail,fail,-7.0,-1.0,-1.0,0.0,-2.0
4254525706.0,1860.0,False,-10667.0,3.0,-12562.0,-51.0,-30.0,-8.0,2.0,-32.0,14.0,-2.4000000000000004,-2.816666666666667,success,success,fail,fail,fail,success,-8.0,-2.0,-2.0,-4.0,2.0
4253347871.0,1716.0,True,11024.0,114.0,15955.0,-43.0,0.0,27.0,5.0,38.0,3.0,1.799999999999999,5.801587301587301,success,success,success,success,fail,success,8.0,3.0,1.0,2.0,2.0
4252632601.0,1532.0,True,37822.0,26.0,6820.0,11.0,9.0,15.0,4.0,8.0,-5.0,0.5999999999999996,2.9066985645933014,success,success,success,neutral,success,fail,7.0,1.0,0.0,3.0,0.0
4251917901.0,1111.0,True,26450.0,10.0,10767.0,128.0,-1.0,20.0,1.0,-1.0,2.0,2.0,6.704980842911877,fail,success,neutral,neutral,fail,fail,4.0,0.0,0.0,-2.0,-1.0
4251370450.0,1077.0,False,-15476.0,3.0,-8492.0,-60.0,-13.0,-25.0,1.0,17.0,-6.0,-1.5999999999999996,-5.586956521739131,fail,fail,neutral,neutral,success,success,-2.0,0.0,0.0,0.0,1.0
4251243339.0,857.0,True,9598.0,13.0,9683.0,125.0,-6.0,10.0,2.0,11.0,-5.0,1.5999999999999996,1.4880952380952384,success,success,success,neutral,fail,success,8.0,1.0,0.0,-1.0,1.0
4251166212.0,1357.0,True,15630.0,55.0,7018.0,20.0,-43.0,-4.0,6.0,17.0,6.0,0.7999999999999989,5.736111111111111,success,success,neutral,neutral,success,success,2.0,0.0,0.0,3.0,2.0
4250860240.0,1656.0,True,11063.0,49.0,306.0,-9.0,-29.0,-39.0,6.0,47.0,-14.0,0.0,-0.4333333333333331,success,fail,success,success,success,fail,3.0,1.0,1.0,-2.0,-2.0
4249753525.0,1427.0,True,-8092.0,33.0,12794.0,63.0,-46.0,14.0,2.0,-5.0,13.0,1.799999999999999,4.152380952380952,success,success,success,success,fail,success,8.0,2.0,1.0,1.0,2.0
4249723353.0,1461.0,False,-17228.0,-24.0,-9908.0,-41.0,9.0,-21.0,1.0,-8.0,3.0,-1.0,-4.133333333333333,fail,fail,fail,neutral,fail,fail,-7.0,-2.0,0.0,0.0,-2.0
4248778219.0,1525.0,False,-4211.0,-3.0,-7261.0,-70.0,-15.0,-8.0,5.0,25.0,-14.0,-1.4000000000000004,-2.767402376910017,success,fail,neutral,neutral,fail,success,-4.0,0.0,0.0,-3.0,1.0
4247931821.0,1464.0,True,22798.0,32.0,9839.0,-50.0,-19.0,15.0,4.0,1.0,1.0,0.7999999999999989,5.7125,success,success,success,neutral,success,success,7.0,1.0,0.0,3.0,2.0
4247737857.0,1068.0,False,-9931.0,-27.0,-9604.0,-61.0,15.0,-5.0,2.0,-6.0,0.0,-1.3999999999999986,-4.383928571428571,fail,fail,fail,neutral,fail,fail,-8.0,-2.0,0.0,-1.0,-2.0
4244246685.0,1989.0,False,-33774.0,47.0,-217.0,-74.0,-10.0,39.0,13.0,-10.0,6.0,-1.5999999999999996,-0.8888888888888888,success,success,success,fail,success,success,4.0,1.0,-1.0,0.0,2.0
